"Leeftijd referentiepersoon","Perioden","Regio's","Totaal particuliere huishoudens","Eenpersoonshuishouden","Meerpersoonshuishoudens","Totaal niet-gehuwde paren","Totaal gehuwde paren","Eenouderhuishoudens","2 personen","3 personen","4 personen","5 of meer personen "
"Totaal","2000","Nederland",6801008,2272219,4528789,657579,3440642,384317,2242256,897408,943509,445616
"Totaal","2005","Nederland",7090965,2449378,4641587,747056,3402433,444124,2317627,905839,973043,445078
"Totaal","2010","Nederland",7386144,2669516,4716628,836339,3339959,486250,2417798,907781,970519,420530
"Totaal","2015","Nederland",7665198,2867797,4797401,934671,3275358,545289,2512123,923286,961010,400982
"Totaal","2021","Nederland",8043443,3097117,4946326,1077723,3233662,593871,2640717,940588,958249,406772
"Totaal","2000","Amsterdam",404579,223325,181254,46056,93774,36173,104134,38269,25567,13284
"Totaal","2005","Amsterdam",407784,225153,182631,46938,91629,38606,101083,39948,27418,14182
"Totaal","2010","Amsterdam",422073,233891,188182,52948,90125,38731,103147,40923,29174,14938
"Totaal","2015","Amsterdam",449209,247417,201792,63813,92545,39974,111352,42007,31993,16440
"Totaal","2021","Amsterdam",474875,256596,218279,77323,96281,39972,124787,43208,32883,17401
