Weeknummer;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46
2004-2009;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;3;5;9;19;28;37;44;47;49;51;53;55;56;58;59;60;61;62
1996-2003;0;0;0;0;0;1;1;2;2;2;2;2;2;2;2;2;3;3;4;4;5;6;6;8;13;20;26;28;29;32;40;56;59;61;62;63;64;65;66;67;68;69;69;70;71;71
1991-1995;0;0;0;0;1;1;1;2;2;2;2;2;2;3;3;3;3;4;5;5;6;7;8;10;13;18;21;23;25;31;49;57;59;61;62;63;64;65;65;66;67;67;68;69;69;70
1986-1990;0;0;0;0;1;1;1;2;2;2;2;2;3;3;3;3;3;4;5;5;6;7;8;10;14;17;19;22;26;41;55;61;62;63;65;65;66;67;68;68;69;69;70;70;71;72
1981-1985;0;0;0;0;1;1;2;2;2;2;2;2;3;3;3;3;4;4;5;6;7;7;9;12;16;19;22;29;41;56;64;67;69;70;71;71;72;72;73;73;74;74;75;75;76;76
1976-1980;0;0;0;0;1;1;2;2;3;3;3;3;3;3;3;3;4;5;6;7;8;12;15;19;24;27;30;45;61;68;72;74;75;76;76;77;77;78;78;79;79;79;80;80;80;81
1971-1975;0;0;0;0;1;1;2;3;3;3;3;3;3;3;4;4;4;5;6;7;8;9;12;17;22;26;34;57;71;75;77;79;80;80;81;81;81;82;82;82;83;83;83;84;84;84
1966-1970;0;0;0;0;1;2;2;3;4;4;4;4;4;4;4;4;5;6;7;8;16;25;30;34;41;47;56;72;78;81;82;83;84;84;84;85;85;85;85;86;86;86;86;86;87;87
1961-1965;0;0;0;0;1;2;3;4;4;4;4;4;5;5;5;5;6;7;9;10;12;14;22;38;51;65;73;82;84;85;86;86;87;87;87;87;87;88;88;88;88;88;88;89;89;89
1956-1960;0;0;0;0;1;2;2;3;4;4;4;4;4;5;5;6;6;8;11;17;20;23;28;35;48;61;69;76;81;84;85;86;87;87;87;88;88;88;88;88;88;89;89;89;89;89
1951-1955;0;0;0;0;0;0;1;1;1;1;1;2;2;2;2;3;4;6;7;9;18;41;66;79;83;86;88;89;89;90;90;90;91;91;91;91;91;91;91;91;91;91;92;92;92;92
1946-1950;0;0;0;0;0;0;0;1;1;1;1;1;1;2;2;3;4;9;20;40;65;83;87;89;90;90;91;91;91;92;92;92;92;92;92;92;93;93;93;93;93;93;93;93;93;93
1941-1945;0;0;0;0;0;0;0;1;2;2;2;3;3;5;9;17;24;40;55;76;86;88;89;90;90;91;91;91;92;92;92;92;92;92;92;93;93;93;93;93;93;93;93;93;93;93
1936-1940;0;0;0;0;0;0;0;2;4;5;16;26;41;60;71;78;81;82;84;85;86;87;87;88;89;89;90;90;90;90;90;90;91;91;91;91;91;91;91;91;91;91;91;91;91;91
1931-1935;0;0;0;0;0;1;1;5;9;28;49;61;69;74;77;79;80;81;82;82;83;84;85;85;86;87;87;88;88;88;88;88;88;88;89;89;89;89;89;89;89;89;89;89;89;89
<1931;0;0;0;0;0;1;1;10;26;45;54;61;66;69;71;72;73;74;75;75;76;77;77;78;79;81;81;82;82;83;83;83;83;83;83;83;83;83;83;83;84;84;84;84;84;84
