,total infected,new infected,hospitalized,deceased,newInfections,totalInfected
0,0.0,0.0,0.0,0.0,,
1,,,0.0,0.0,10.0,10.0
2,,,0.0,0.0,15.0,15.0
3,,,0.0,0.0,20.0,20.0
4,,,0.0,0.0,15.0,15.0
5,,,0.0,0.0,10.0,10.0
6,,,0.0,0.0,15.0,15.0
7,,,0.0,0.0,20.0,20.0
8,,,0.0,0.0,15.0,15.0
9,,,0.0,0.0,10.0,10.0
10,,,0.0,0.0,15.0,15.0
11,,,0.0,0.0,20.0,20.0
12,,,0.0,0.0,15.0,15.0
13,,,0.0,0.0,10.0,10.0
14,,,1.0,0.0,15.0,15.0
15,3168.0,3168.0,0.0,0.0,,
16,18695.0,15527.0,0.0,0.0,,
17,59420.0,40725.0,2.0,0.0,,
18,83487.0,24067.0,2.0,0.0,,
19,88702.0,5215.0,4.0,0.0,,
20,90087.0,1385.0,5.0,0.0,,
21,90682.0,595.0,6.0,1.0,,
22,91065.0,383.0,6.0,1.0,,
23,91420.0,355.0,6.0,1.0,,
24,91717.0,297.0,6.0,2.0,,
25,91993.0,276.0,6.0,2.0,,
26,92239.0,246.0,302.0,3.0,,
27,92473.0,234.0,691.0,3.0,,
28,92668.0,195.0,1258.0,4.0,,
29,92788.0,120.0,2087.0,4.0,,
30,92893.0,105.0,2554.0,4.0,,
31,92974.0,81.0,2796.0,4.0,,
32,93055.0,81.0,2931.0,4.0,,
33,93113.0,58.0,2818.0,97.0,,
34,93152.0,39.0,2663.0,235.0,,
35,93212.0,60.0,2348.0,419.0,,
36,93261.0,49.0,1827.0,669.0,,
37,93298.0,37.0,1560.0,830.0,,
38,93328.0,30.0,1444.0,902.0,,
39,93355.0,27.0,1407.0,952.0,,
40,93414.0,59.0,1375.0,986.0,,
41,93755.0,341.0,1342.0,1025.0,,
42,97745.0,3990.0,1320.0,1051.0,,
43,122195.0,24450.0,1298.0,1068.0,,
44,158904.0,36709.0,1283.0,1081.0,,
45,173387.0,14483.0,1251.0,1098.0,,
46,176720.0,3333.0,1232.0,1114.0,,
47,177697.0,977.0,1222.0,1120.0,,
48,178182.0,485.0,1215.0,1129.0,,
49,178634.0,452.0,1211.0,1133.0,,
50,179172.0,538.0,1201.0,1138.0,,
51,179543.0,371.0,1199.0,1140.0,,
52,179817.0,274.0,1200.0,1143.0,,
53,179987.0,170.0,1204.0,1147.0,,
54,180105.0,118.0,1300.0,1154.0,,
55,180192.0,87.0,1736.0,1158.0,,
56,180234.0,42.0,2192.0,1159.0,,
57,180262.0,28.0,2391.0,1160.0,,
58,180287.0,25.0,2490.0,1161.0,,
59,180308.0,21.0,2562.0,1163.0,,
60,180333.0,25.0,2602.0,1166.0,,
61,180357.0,24.0,2623.0,1198.0,,
62,180372.0,15.0,2400.0,1353.0,,
63,180386.0,14.0,2135.0,1508.0,,
64,180398.0,12.0,2027.0,1577.0,,
65,180410.0,12.0,1970.0,1608.0,,
66,180453.0,43.0,1936.0,1631.0,,
67,180689.0,236.0,1909.0,1651.0,,
68,183822.0,3133.0,1857.0,1685.0,,
69,205553.0,21731.0,1818.0,1707.0,,
70,241911.0,36358.0,1787.0,1718.0,,
71,258762.0,16851.0,1768.0,1721.0,,
72,262977.0,4215.0,1761.0,1725.0,,
73,264324.0,1347.0,1750.0,1730.0,,
74,265046.0,722.0,1747.0,1730.0,,
75,265720.0,674.0,1746.0,1730.0,,
76,266445.0,725.0,1745.0,1731.0,,
77,267123.0,678.0,1745.0,1732.0,,
78,267632.0,509.0,1749.0,1733.0,,
79,267944.0,312.0,1770.0,1735.0,,
80,268204.0,260.0,1876.0,1735.0,,
81,268395.0,191.0,2244.0,1735.0,,
82,268555.0,160.0,2809.0,1735.0,,
83,268677.0,122.0,3088.0,1735.0,,
84,268783.0,106.0,3209.0,1736.0,,
85,268896.0,113.0,3289.0,1738.0,,
86,268987.0,91.0,3370.0,1746.0,,
87,269073.0,86.0,3396.0,1784.0,,
88,269151.0,78.0,3253.0,1902.0,,
89,269240.0,89.0,2964.0,2073.0,,
90,269318.0,78.0,2856.0,2171.0,,
91,269407.0,89.0,2844.0,2212.0,,
92,269479.0,72.0,2849.0,2244.0,,
93,269848.0,369.0,2839.0,2274.0,,
94,273732.0,3884.0,2814.0,2299.0,,
95,296688.0,22956.0,2780.0,2337.0,,
96,331872.0,35184.0,2761.0,2373.0,,
97,346899.0,15027.0,2738.0,2395.0,,
98,350766.0,3867.0,2722.0,2413.0,,
99,352030.0,1264.0,2712.0,2428.0,,
100,352766.0,736.0,2702.0,2451.0,,
101,353463.0,697.0,2701.0,2469.0,,
102,354205.0,742.0,2696.0,2480.0,,
103,354911.0,706.0,2685.0,2503.0,,
104,355345.0,434.0,2683.0,2511.0,,
105,355643.0,298.0,2680.0,2518.0,,
106,355854.0,211.0,2770.0,2524.0,,
107,356035.0,181.0,3128.0,2531.0,,
108,356155.0,120.0,3473.0,2539.0,,
109,356238.0,83.0,3672.0,2545.0,,
110,356300.0,62.0,3772.0,2549.0,,
111,356359.0,59.0,3801.0,2551.0,,
112,356405.0,46.0,3846.0,2560.0,,
113,356440.0,35.0,3822.0,2591.0,,
